rouse	v.唤醒，激起，使振奋，惊起，n.觉醒，奋起
compatible	adj.谐调的，一致的，兼容的
deck	n.甲板，舰板，覆盖物，一副(纸牌)，vt.装饰，修饰，打扮，装甲板
gratuity	n.赠物，贺仪，赏钱
historian	n.历史学家，史家
desert	n.沙漠，应得的赏罚，功过，adj.沙漠的，不毛的，荒凉的，vt.放弃，遗弃，逃跑，vi.逃掉，逃亡，开小差
civilian	n.平民，公务员，文官，adj.民间的，民用的
making	n.制造，发展，素质
makings			必要条件，赚头
rough	adj.粗糙的，粗略的，大致的，粗野的，粗暴的，粗略叙述的v.大体描述adv.粗糙地
desirable	adj.值得要的，合意的，令人想要的，悦人心意的
profound	adj.深刻的，意义深远的，渊博的，造诣深的
transport	n.传送器，运输，运输机，激动，流放犯，狂喜vt.传送，运输，流放，放逐
provisional	adj.临时的
fragile	adj.易碎的，脆的
subscribe	v.捐款，订阅，签署(文件)，赞成，预订
queer	n.同性恋者adj.奇怪的，可疑的，不舒服的vt.搞糟
decipher	vt.译解(密码等)，解释n.密电译文
imaginative	adj.想象的，虚构的
inclusive				包括的
mushroom	n.蘑菇，<古>暴发户vi.迅速生长，迅速增加，采蘑菇adj.蘑菇形的，迅速生长的
horrible	adj.可怕的，恐怖的，讨厌的
sparkle	v.发火花，(使)闪耀，(香槟酒等)发泡，用眼神表达，发光闪烁n.火花，闪光，光彩，活力，发泡
temperate	adj.有节制的，适度的，戒酒的，(气候)温和的
prerogative	n.特权
subtitle	n.副题(书本中的)，说明对白的字幕
subtitles			字幕
torment	n.痛苦v.折磨
seemingly	adv.表面上地
tile	n.瓦片，瓷砖
isle	n.小岛，岛vt.使成为岛屿vi.住在岛屿上
enquiry	n.询问
\\\\\\\\
