consistent								一贯的，持续的，不变的
battery								电池，一系列
competent								有能力的，足够的
preserve								保护，拯救，果酱
possession								拥有，占有，领地
proximately							近似地
wildfire								烈火
compact								坚实的，小巧紧凑的，协议，压缩
defy									反抗，激，使不可能
absolutely								绝对的，当然
filter								过滤器，过滤
server								发球者，服务器
spoil									毁掉，宠坏，变质，桩物，奖品
spoil oneself							善待自己
rustle								沙沙声
diversion								转向，消遣，佯攻
complaint								抱怨，抗议，疾病
merge									合并，融合
priceless								无价的，极有趣的
honorary								荣誉的，义务的
chronic								慢性的
extracurricular							课外的
lobby									大堂，游说
inexhaustible							用之不竭的，无限的
inevitable								必然发生的
contamination							污染
suspend								悬挂，暂停，推迟，使悬浮
imminent								迫近的
obesity								肥胖
aid									帮助，救助
solution								解决办法，溶液，答案
\\\\
