transcend						超越
kidnap						绑架罪，绑架
dominate						统治，主宰，占优势
stabilize						使...稳定
consult						咨询，查阅，商量
resume						继续
migrate						移居，迁徙
isolation						隔离，孤立
derive						起源于...，获得，衍生
conservation					保护，节约，守恒
incidence						发生，发生率
perpetual						一再反复的，无休止的
pessimistic					悲观的
crew							工作人员
mourn							哀悼
vice							有伤风化的行为，缺陷
vice-							副...
shot							射击，尝试，击球，照片，注射
virus							病毒，毒害
dorm							宿舍
erupt							喷发，爆发
impact						冲撞，影响
index							索引，标志，指数
claim							要求...的所有权，声称，要求，获得，索赔
make a claim					作出断言
a claim to fame					出名的事由
embrace						拥抱，包括，欣然接受
enviable						令人羡慕的
blouse						女衬衫
deliver						递送，移交，发表，履行
rhythm						节奏，韵律，循环往复
the rhythm of the tides			潮起潮落
code							密码，规范
monopoly						垄断
\\\\
