interfere					插手，干涉，妨碍
contestant					参赛者，对手
ridiculous					可笑的，荒唐的
glamorous					富有魅力的
mall						购物中心
chronically					长期的，严重的
prolonged					延长
symptom					症状，征兆
compelling					引人入胜的，令人信服的
immensely					极其
species					种
battle					战斗，斗争
conflict					冲突
permeate					渗透，散布
erroneous					错误的
compartment					车厢，隔间
metropolitan				大都市的，本土的
grip						抓牢，控制
crush						压坏，压碎，挤，热恋
lemon crush					柠檬汁
prior						在先的，优先的
formula					惯用语句，方案
formulae					公示，配方
inescapable					必然的，不可逃避的
skeptical					怀疑的
harness					保护带，利用
destination					目的地
vocational					职业的
density					密度
variance					不同，分歧
landmark					地标，里程碑
linger					逗留，留存
\\\\
