luxurious					豪华的
astronomical				天文学的，巨大的
coordination				协调
currency					货币，通行
blame						责怪，自责
dismiss					对...不予考虑，彻底忘掉，解雇
testify					作证
qualify					使具有资格，限定，修饰，有权
inquire					询问，打听
emphasize					强调，重读
overwhelming				压倒性的，难以抑制的
flame						火焰，强烈感情，燃烧，变红
imitate					仿效，模仿，复制
handle					把手，理解，称呼，对待，应付，涉及
drought					旱灾
drummer					鼓手
revive					使复元，振兴
vulnerable					脆弱的，易受影响的
spot						点，地点，困境，认出
suppress					镇压，封锁，克制
diminish					减少，削弱，贬低
reconcile					使和好，使...一致，使...将就，调解
artificial					人造的，认为的，假装的
athletic					运动的，运动员的
confrontational				对抗的，咄咄逼人的
row						一排，连续，划船，争吵
navigate					导航，指路，驾驶，横渡
panic						恐慌，匆忙
hostile					不友善的，反对的，不利的，敌人的
console					安慰，控制面板
\\\\
