endanger						危害，危及
prospect						希望，景色，潜在客户，勘探
discern						分辨出，觉察到
judicial						司法的，公正明断的
impair							削弱，降低，损害
motel							汽车旅馆
signal							信号，标志，传达，表明
therapy						治疗
diverse						多种多样的
conserve						节省，储存，保护
adaptation						适应，改编
resist							抵抗，拒受...的诱惑
convince						说服
burden							重负，要旨，烦扰
payroll						工资名单
unified						统一
hasten							赶紧，催促
intertwine						使缠绕在一起
accommodate						容纳，关照
accommodate oneself				使自己适应某事物
prescribe						嘱咐，规定
construction						建造，装配，构思，解释
endure							忍耐，持续
election						选举，选择
call an election					举行选举
jury							陪审团，评委会
glory							光荣，杰出，美丽
sew							缝
sector							行业，部分，扇形
hazardous						危险的，有害的
deprive						剥夺
generous						慷慨的，丰厚的
\\\\
