constrain						限制，强迫
phenomenon						现象，非凡的人或事物
assume							假定，获得，装出，呈现
conscientious					勤勉认真的
concession						让步，折扣，特许权
suspect						推测，怀疑，嫌疑犯，不可信的
sample							样品，品尝
penalty						处罚
representative					典型的，代表
soothe							安慰，减轻
entail							须要，导致
objective						公正的，客观的，目标
submit							投降，遵从，提交，主张
identify						辨认，认出，联系，认为...等同
infect							传染，污染，影响
burial							埋葬，葬礼
genius							天才，才干，特征
submerge						淹没，掩盖，潜入水中
submerge oneself					潜入水中，潜心
stereotype						模式化观念
clarify						澄清
conversion						转变，改建，皈依
resident						居民，常住的
aspect							部分，方面，景色
apologize						道歉
decent							正派的，得体的，像样的
fixture						固定设施，长期驻守的人
institution						习俗，福利机构，金融机构，知名人士
scent							香味，线索，香水，嗅到
welfare						福祉，福利
subsidy						补贴
\\\\
