superficial					外表的，粗略的，肤浅的
private					私人的，秘密的，内向的，私立的
conventional				传统的，墨守陈规的
wonder					惊奇，奇迹，思忖，想知道
tedious					单调乏味的
subordinate					次要的，下属，使...服从
frame						构架，身躯，画面，衬着
smuggle					走私，偷运
reimbursement				报销，赔偿
disappear					消失
inhale					吸入，吸气
majority					大多数
memorize					记住
cumulative					累积的
trap						夹子，圈套，嘴，困住
lofty						高耸的，崇高的，高傲的
clarity					清楚，明确性
interact					相互作用，交流
refine					提炼，改进，使...优雅
confer					授予，赋予，商量
anonymous					匿名的
commentator					实况解说员，评论员
keen						渴望的，热心的，强烈的，敏锐的
be keen on					对...着迷，喜欢
enforce					强制实施，强迫
grocery					杂货
spread					展开，涂，覆盖，传播，范围
recruit					新兵，新成员，征募
justified					有正当理由的，齐行的
eccentric					古怪的，不正圆的
bridge					桥梁，纽带，消除，弥补
\\\\
