neglect					疏于照管，遗漏，忽视
principle					原则，行为准则
stain						弄脏，给...染色，玷污，污点
encourage					鼓励，怂恿，促使
convincing					有说服力的
indiscriminately				不加分析的，盲目的，恣意的
resolute					有决心的，坚决的
indicative					指示的，陈述的
perish					死亡，腐烂
philosopher				哲学家
recipe					食谱，诀窍
excessive					过高的，过分的
rigour						严格，缜密
rigours					严酷
deficient					缺乏的，有缺点的
incompetence				不称职，无能力
entitle					使享有权利
adventurer					冒险家
quicken					加快，激起
divert					使...转向，改变...的用途，使愉悦
recommend					推荐，建议，托付
incalculable				极大的
outcome					结果
scaffolding				脚手架
garage					车库，加油站
domestic					国内的，家里的
cultivate					耕作，培养，建立
formulate					构想，制定，创立，表达
shed						储物棚，流，摆脱，流露出
worldwide					世界范围
fuss						小题大做，争吵，烦恼
\\\\
