contention						论点，争论，竞争
hijack						劫持，把持
dweller						居住者
buck							雄兽，责任，男人，使摔下，抵抗
pass the buck					推卸责任
view							观点，思维方式，视野，景色，看
pronoun						代词
contribution					作用，贡献，捐助
undecided						悬而未决的，犹豫不决的
restrict						限制
reverse						相反情况，失败，相反的，倒档
grasp							紧抓，掌握，理解
provoke						激怒
texture						手感，口感，韵味
publicity						媒体的关注，宣传
format						样式，格式
indifferent						漠不关心的，一般的
incentive						刺激，优惠
prejudice						偏见，侵害
assumption						假定，获得，承担
habitual						通常的，习惯性的
sculpture						雕塑
responsibility					负责，义务
manuscript						手抄本，手稿
duplicate						复制，重复，副本
ecosystem						生态系统
humorous						幽默的
contaminate						污染
orbit							轨道，势力范围，绕…运行
evolve						进化，逐步发展
skyrocket						飞涨
\\\\
