portion					一部分，一份
cautious					小心谨慎的
assassinate				暗杀
narrow					狭窄的，有限的，微小的，变窄，缩小
botanical					植物学的
conquer					占领，克服，战胜
regain					收回，返回
composition				构成，创作，作品
stress					精神压力，紧张，强调
yield						出产，让出，泄露，屈服
spectacle					精彩的表演，奇观
spectacles					眼镜
host						主人，主持人，主办
release					释放，免除...的责任，打开，放开，发射
malicious					怀有恶意的
prevailing					流行的，普遍的
gratitude					感激之情
mobility					便携性，灵活性，流动性
ascend					攀登，升高
in ascending order			按升序排列
fake						赝品，伪造的，伪造，假装
inflation					通货膨胀
plot						小块土地，密谋，情节，绘制
manufacture				大量生产，生成，编造，工业品
criticism					评论，批评
outsource					外购，将...外包
obstacle					障碍
appreciative				感激的，赞赏的
predominantly				主要的
invasion					侵略，大批涌入
detect					查明，发现
addict					对...入迷的人
\\\\
