slash						砍伤，切口，削减
cognitive					认知的
extinguish					扑灭，毁灭，压抑，偿清
disadvantage				不利条件，不利地位
alien						外星人，外国的，陌生的，不相容的
barely					仅仅，几乎不
simulate					假装，模拟，模仿
prospective					预期的
interaction					交流，相互作用
materialize					实现，显现
contribute					捐献，提出，是...的原因之一
dishonest					不诚实的，欺骗性的
appeal					呼吁，上诉，吸引
applicant					申请人
intelligent					有才智的
spacious					宽敞的
fatal						致命的，灾难性的
counselor					咨询顾问
potential					潜在的，可能的，潜力
assimilate					吸收，同化
relieved					感到宽慰的
compel					强迫，强求
program					程序，课程
capacity					容纳的能力，产能，能力，职位
orient					使朝向，使适应，熟悉环境					
the Orient					东方国家
undertaking					任务，企业，承诺
shift						挪动，转移
liberation					解放，解脱
utterly					完全的
\\\\
