tuition					讲授，学费
esteem					尊重
purchase					购买，紧握
incorporate				纳入，收录
prevail					流行，占优势
irrational					不合逻辑的
inherent					内在的，固有的
overexcited				过于兴奋的
preference					偏爱
evolution					进化，演变
exotic					来自异国的，异常迷人的
stockbroker				股票经纪人
misinterpret				错误的阐释
prosperity					繁荣
tank						容器，一箱，坦克，惨败
outdated					陈旧的，过时的
outnumber					在数量上超过
supervisor					管理人，导师
fluctuate					波动，摇摆不定
substance					东西，事实基础，重要性，物质
in substance				本质上
profitable					获利的，有益的
markedly					明显的
ineffective				无效的，无能的
bleak						荒凉的，凄凉的
optimistic					乐观的
ultimate					最终的，基本的，极度的
the ultimate				最好的事物
consumption				消耗，消费，接受
foster					培养，抱有，养育
receipt					收据，收到
harsh						严厉的，恶劣的，刺眼的
\\\\
