immense						巨大的，艰巨的，严重的
inferior						较差的，下级的
accrue						累积
genuine						真的，真诚的
nominate						提名，任命，指定
distinctive					特别的
mismanagement					管理不善
reckon						认为，觉得，估计，计算，希望
reckon on						期待，依赖
reckon up						结算
reckon with					重视，考虑
mask							面罩，伪装，掩盖
forge							伪造，锻造，建立，稳步前进
identical						相同的
imperial						帝国的
target						靶，目标
disconnect						拔下，停止供应
immigrant						移民
unqualified					不合格的，绝对的
edit							编辑，剪辑，主编
govern						统治，支配，决定
assert						断言，主张
assert oneself					坚持自己的主张
breezy						有微风的，通风的，欢快的
hesitate						犹豫，有顾虑
presidency						总统的职位
quota							定额，限额
dropout						退学者
capture						占领，刻画，俘获
integrity						正直，完整
flee							逃跑
certification					鉴定
instant						立即的，片刻
criminal						罪犯，犯罪的
\\\\
