clue					线索，想法
arrogant				傲慢的
elevate				抬起，提高，提升
expansion				膨胀，扩大
rate of expansion			增长率
authority				权力，权威，来源
publicize				宣传
reflective				反射的，典型的，沉思的
be reflective of			代表...
reflective faculty		思辨能力
quantity				数量，大量
acutely				深切的，极其，敏锐的
isolate				使脱离，隔离，使...孤立
vigorous				有力的，强健的，坚决的
counsel				劝告，建议
vivid					鲜艳的，清晰的，生动的
hostility				不友善，敌意，反对
hostilities				战争行为
collaborate				合作，通敌
consultation			商讨会，商讨，查阅
transition				过渡
deteriorate				恶化，磨损
pasture				牧场，放牧
eyewitness				目击者
trait					特点，性状
anticipate				预料，期望，是先驱
numerous				许多的
combination				混合体，组合
slightly				略微的，纤细的
dividend				股息，收益，被除数
minimal				最小的
derail				使...脱轨
barrier				障碍
ingenuity				心灵手巧
\\\\
