bribe						贿赂
guesstimate					约略估计
negotiation					谈判
hardship					穷困，艰难，磨难
badge						徽章，象征
compromise					妥协，危及，减少
excess					过量，过多的
descendant					后代
fulfill					实现，满足，符合
collective					集体的
amend						修改，纠正，改进
tangled					缠结，混乱，争论
qualification				资格，素质，限定
recall					召回，回忆起，使...恢复
adopt						领养，提名，采用
tasteless					淡而无味的，庸俗的
drown						淹死，压过
tragedy					灾难，悲剧
circulation					循环，传播，流通
grand						壮观的，傲慢的，极好的，大钢琴
inadequate					不充分的
household					家庭
authorization				授权
auxiliary					辅助的，辅助物
adverse					不利的
descriptive					描写的，记叙的
trace						痕迹，微量，小路，查出
bloom						花，风华正茂
evaluate					评价，评判
humanistic					人文主义的
\\\\
