cozy						舒适的，亲密的
plough					犁，耕地
melt						融化，变软，融合
lest						以免，万一，担心
ready						准备好的，急切的，需要的，机敏的
formidable					难克服的，令人钦佩的
feasible					可行的，可能的
regarding					关于
needle					针，惹恼
dimension					尺寸，方面
dimensions					面积，范围
specialize					从事专门研究
overturn					掀翻，撤销，翻倒
shrank					缩小，退缩，回避
adversely					不利的
check						查明，检查，控制，抑制
check oneself				克制自己
testimony					证词，说明，证明
rigorous					严格的，缜密的
privileged					有特权的，荣幸的
the privileged				特权人士
expectation				预料，希望
bias						偏见，倾向
lawsuit					诉讼
eloquent					雄辩的，传神达意的
shrink					缩小，退缩，回避
regulation					规定，标准化的
alternative				可供替代的，非传统的，选择
moist						微湿的，多汁的
surpass					胜过，超出
fabric					织物，结构，基础
distinction				差别，卓越，优雅
eradicate					根除，杜绝
\\\\
