brilliant					明亮的，鲜艳的，杰出的，极好的
redefine					重新定义
arm						臂，军种，武装
intensely					极度的，非常
desperate					绝望的，极渴望的，极严重的
sexism					性别歧视
bruise					青肿，伤害
prominent					重要的，著名的，显眼的
comprehensive				全面的，综合性的，绝对的
forecast					天气预报，预测
champion					冠军，提倡者
specification				明确说明，规格，要求
layout					排版，布局
rally						集会，回升，召集
romantic					浪漫的，情爱的
deviate					偏离
insufficient				不足的，不充分的
boost						促进，宣传，增加
scandal					丑事，愤慨，流言蜚语
confine					禁闭，限制，
confines					界限，限制
confine oneself				将自己局限于某事
conspicuous				显眼的，显著的
significant				重要的，有意义的
fresh						新的，精力充沛的，洁净的，无礼的
fresh-					刚
indulge					纵容，满足，沉溺
indulge oneself				尽情享受
instinctively				本能的
complement					补充的东西，足额，补充
content					满意的，满足，内容
squalor					极其肮脏
fatigue					疲劳，制服
awesome					令人惊叹的
\\\\
