responsive					热情的，反应灵敏的
echo						回声，暗示，附和，与...相似
division					分开，分配，除法，部门
gender					性别，性
correlation				相关
casualty					伤亡人数
appropriate				合适的，有关的，占用，播发
subtle					细微的，精妙的，敏锐的，隐约的
critical					批评性的，关键的，评论家的
alternatively				或
intimate					亲密的，详尽的，暗示
disengagement				脱离，撤军
lounge					客厅，休息室，躺着
gesture					手势，用动作示意
script					剧本，笔迹
prestige					威望，有声望的
awkward					不方便的，令人尴尬的
entrepreneur				企业家
automatic					自动的，无意识的，必然的，自动挡
thrive					茁壮成长，繁荣
enrich					充实，使...富裕
chew						咀嚼
vehicle					机动车，手段
intriguing					引起兴趣的
segregation				隔离，分开
hurl						猛扔
hurl oneself				扑
hatch						舱口，开口，孵，策划
a hatch of					一窝
disservice					损害
variation					变化，差异，变体
enormous					庞大的
\\\\
