scare						使害怕，惊吓
alphabetical				按字母顺序的
conclusive					确定的
epidemic					传染病，蔓延，泛滥的
solid						固体的，连续的，纯的，挤满的
clause					分句，条款
attendant					服务员，陪伴者，伴随的
collapse					倒塌，折叠
dispatch					派遣，迅速完成，公文急件，报道
shrug						耸肩
redundant					被裁减的，多余的
alert						警惕的，警戒，提醒
deficit					赤字
restructure				重组
tap						龙头，抽液，利用，轻拍
simultaneous				同时发生的，同时进行的
arise						产生，被引出，起身
wildlife					野生动物
overwhelm					吞没，压垮，战胜
motivation					动机，积极性
delicate					精美的，易损的，纤弱的，精密的
remarkable					出色的，非凡的，引人注目的
slavery					奴隶身份，奴隶制，沉迷
slavery to					受...支配
untreated					未治疗的
suspicious					怀疑的，可疑的
ancient					古代的，年老的
distort					使...扭曲，歪曲
skip						不参加，跳过，蹦跳
wishful					渴望的
entrepreneurship				企业家的身份
\\\\
