bride						新娘
unfold					展开，披露
interference				干涉，干扰
assault					袭击，冲击
shareholder				股东
breakthrough				突破，突围
footnote					脚注，补充说明
applicable					适当的，可应用的
controversial				有争议的
inherit					继承，接手
facilitate					促进，加快
manifest					明显的，清楚显示，证明
manifest itself				显现
fiscal					财政的
gown						女礼服，长袍
rate						速度，比率，价格，工资，评估
mortality					死亡
decline					下降，恶化，婉拒
mournful					悲伤的
paradox					悖论，矛盾的人或事物
simultaneously				同时的
strategy					战略，策略
literacy					读写能力，专业知识
apathy					冷淡
boom						隆隆声，繁荣，暴涨
oblige					强迫，帮助
incompatibility				不和睦，矛盾，不相容
commerce					贸易，交易
attribute					把某事物归因于...，属性
cafeteria					自助餐厅
cripple					跛子，有缺陷的人，严重破坏
\\\\
