shuttle				往返运行，往返两地的运输工具
nightmare				噩梦，可怕的经历，难缠的人
startle				使吃惊
debris				残骸，垃圾
assemble				召集，收集，装配
perception				感觉，洞察，看法
coastal				近海的，海滨的
desert				抛弃，背离，沙漠
peer					仔细看，同龄人
embody				象征，使具体化，包括，收录
sympathetic			有同情心的，讨人喜欢的，赞同的
backup				支持，备用物品，备份
notably				尤其，极其，显眼的
exploit				英雄业绩，开发，剥削
poetry				诗歌，美好品质
discriminate			区别对待，区别
readjust				整理，重新调校，调整
readjust to			重新适应
slight				小的，肤浅的，冒犯
strip					脱掉衣服，除去，剥夺，条
tackle				处理，阻截
steady				稳定的，均匀的
minority				少数，未成年
aspirational			志向
discipline				纪律，惩罚，训导
threshold				门槛，关口
soar					高飞，升高
uneven					不平整的，不规则的，悬殊的
crucial				至关重要的
athletics				田径运动
needy					贫穷的
the needy				穷人
\\\\
