enthusiastic					热情的
trigger					板机
essential					完全必要的，本质的，必需品，基本要素
agenda						议事日程，工作事项
owe						欠，把...归因于
justice					公正，司法，法官
donor						捐献者
convict					判决...有罪，囚犯
underestimate				低估
flat						平坦的，瘪的，紧贴的，断然的
confidential					机密的
unexpected					出乎意料的
vitamin					维生素
jeopardize					危及
disproportionately				不成比例的
bacteria					细菌
achieve					达到，实现，取得
bump						撞，颠簸行进
existence					存在，生存
sweep						清扫，横扫
shrewd						精明的
illuminate					照亮，阐明
realm						王国，领域
blueprint					蓝图，规划
pension					养老金
administration				管理，执行，政府
track						足迹，路径，铁轨，跟踪
ponder						仔细考虑
paradise					天堂，乐园
ethnic						民族的
\\\\
