misfortune					厄运
citation					引述，嘉奖
rape						强奸，油菜
ecological					生态的
lag						时间间隔，落后
controversy					争论
cornerstone					奠基石，基础
erect						直立的，建造，竖起
prematurely					过早的
initiative					主动性
dilute					稀释，削弱
viewpoint					观点，观看位置
typical					典型的，特有的
stray						走失，偏离正题，误入歧途，流浪的，零星的
imbalance					不平衡
affiliation					隶属
counterpart					相当的人，对应物，副本
classify					将...分类
demonstration				示范操作，表达
outlive					比...活的长
reservation					预订，预留，保留意见
circumstance				状况，形势
revolutionize				使发生革命性剧变
outweigh					超过
cast						描述，铸造，扔，投射，全体演员，类型
uncertain					不确定的，难预料的
threat					恐吓，威胁
conservative				保守的，传统的
overestimate				高估
documentary					纪录片
\\\\
