accelerate					加速
bitter					味苦的，愤恨的，激烈的，艰难的
ambition					志向
confess					认罪，承认，忏悔
confess oneself				承认某事
extent					大小，严重性，程度
accountant					会计师
sheer						十足的，完全的，陡峭的，轻薄的
deliberate					故意的，慎重的，仔细讨论，认真考虑
pave						铺
measure					计量制，标准量，措施，评价，测量
potentially				潜在的
remove					拿走，取消，辞退，搬迁
allergic					过敏性的
available					可获得的，有空的，单身的
initial					首字母，最初的
consensus					一致意见
opponent					对手，反对者
modify					修改，降低，修饰
signify					表示，要紧
accumulate					积累
mining					我的，矿，宝库，地雷，开采
violent					残暴的，猛烈的，突然的
adversity					逆境，灾难
dynamics					充满活力的，动态的，动力
chaos						混乱
persistent					坚持不懈的，持续存在的
ritual					仪式，惯例
criteria					标准
impose					强制执行，将...强加于人
untiring					不屈不挠的，持续不衰的
\\\\
