contrary					相反的，逆向的，尽管
nutritious					有营养的
anxiety					焦虑
rewarding					有利的，有益的
straightforward				简单的，坦率的
descent					下降，下坡，血统，堕落
hospitality					款待
stuff						东西，私人物品，事儿，作品，要素，装满
stuff oneself				大吃特吃
reflect					映出，显示，深思
carpentry					木工手艺，木器
decode					破译，解读
flaw						瑕疵，错误，毁掉
reveal					披露，展现
tutor						教师，课本
accustom					使某人习惯于某事
acquaintance				相识的人，结识，了解
distribution				分发，分布，分散
trend						趋势，倾向
irritate					使恼怒，刺激
intrinsic					本质的，固有的
deem						认为
arouse					引起，唤醒
suburban					郊区的，平淡乏味的
pursue					追逐，从事
ideology					意识形态，思想体系
layman					外行
instantaneous				瞬间发生的
seasick					晕船的
lack						缺乏
exaggerate					夸大
\\\\
