magnify					放大，扩大
utilization				利用
twist						转动，弯曲，缠绕，打结，转折
expedition					远征，短途出行
switch					开关，转变，调换，改变
inheritance				继承物，继承
sponsor					赞助者，资助，倡议
deterioration				恶化
ongoing					持续的，发展中的
refreshing					提神的
incidentally				附带的，偶然
imprison					关押
present					在场的，当前的，礼物，提交，呈现，介绍
uninformed					无知的
overlap					部分重叠，相同之处
slim						纤细的，些许的，减肥
urban						城市的
rank						地位，等级，排
untrustworthy				不可信赖的
automatically				自动的，不假思索的，必然的
accountable				应作解释的，负有责任的
collaborative				合作的
practice					实践，练习，常规，习惯
diligence					勤奋
victim					受害者
urge						欲望，力劝，驱赶
fertility					生育能力，丰富性
foundation					创建，地基，基础，根据
reception					欢迎，接待，接待处，招待会
elite						精英
\\\\
