suicide					自杀，自毁
incompetent					无能力的，无资格的
tremendous					极大的，强烈的，极好的
recyclable					可回收利用的
visualize					使形象化，预想
exertion					努力，施加
slack						松垂的，懒散的，松懈的，萧条的
slacks					便裤
rigid						坚硬的，死板的，苛严的
organic					有机的，器官的，统一的
reproduction				繁殖，复制
strap						带子，皮鞭，用带子固定
precision					清晰，精确，恰好
standardize					使标准化
aptly						恰当的
promotion					晋升，促进，广告宣传
paralyze					使...瘫痪
degeneration				衰退，恶化
refrain					副歌，忍住
flavor					味道，特色
adventure					冒险活动
agonize					焦虑不已
mount						登上，镶嵌，安装，发起，上涌，增加
Mount						山
oppose					反对，抵制
justifiable					有理由的，无可非议的
promote					晋升，促进，推销
renewable					可延期的，可再生的
renewables					可再生能源
hypothesis					假设，学说
presentation				赠与，陈述，外观，表演
cater						满足...的需要
unbiased					无偏见的
\\\\
