immersive					沉浸式虚拟现实的
domain					领域，领土
primitive					原始的，早期的，简陋的
urgent					紧急的，迫切的
threaten					恐吓，危及
throne					宝座，王权
underfunded				资金不足的
jail						监狱，监禁
assessment					估价，评价
frustrate					阻挠，挫败，使...心烦
abolition					废除，取消
detective					侦探
skyscraper					摩天大楼
corruption					腐化堕落
intolerant					偏执的，过敏的
pierce					穿孔于，穿透
compensate					赔偿，补偿
gap						空白处，空缺，差异
worship					敬神，崇拜
gallery					美术馆，瞭台，拍卖厅
coach						长途汽车，车厢，教练，辅导
cancel					取消
strike					击打，碰撞，给予，打动，罢工
rebellion					叛乱，反对，叛逆
distract					使...分心，给...以消遣
imperative					迫切的，必须服从的
imperative mood				祈使语气
geology					地质学
sway						摇晃，势力
costume					服装
manual					体力的，手的，使用手册
\\\\
