quantifiable					可量化的
expenditure					开支，花费
breed							培育，孕育，繁殖，类型
emerge						出现，摆脱
noted							著名的
position						位置，姿势，状况，立场，摆放
extinction						绝种，偿清
receptionist					接待员
reckless						鲁莽的
abuse							虐待，滥用，辱骂
accuse						指责，指控
biochemistry					生物化学
optimism						乐观
predict						预言
notoriously					众所周知的
board							木板，膳食，委员会，登上
pose							摆姿势，构成
memorandum						备忘录
puzzling						谜，使困惑，苦思冥想
reliable						可靠的，准确的
replacement					更换，替代品
reinforce						增加，加固，证实
impart						传授，传达，带来
diversity						多样性
occupation						居住，占领，职业
intense						强烈的，紧张的
dramatically					戏剧性的，突发惊人的
awareness						意识
virtually						实际上，虚拟的
maturity						成熟
\\\\
