rare						罕见的，美好的
curb						控制，限制
favor						赞同，好处，善意行为，较喜欢，赐予
productivity				生产率
mechanism					机械装置，机制，途径
helicopter					直升机
validity					有效，正确
relevant					有关的
miracle					奇迹
fertilizer					肥料
shady						阴凉的，靠不住的
poll						投票，获得，调查
countermeasure				对策
worldly					世俗的
legislator					立法者
campaign					战役，运动
odds						投注赔率，可能性，不和
shepherd					牧羊人，放牧，引领
schedule					计划，安排
access					入口，享用机会，进入，存取
owl						猫头鹰
interpret					解释，理解，做口译
intervention				干涉
bemoan					哀叹
determine					查明，确定
incur						招致，引起
literal					字面的，如实的，绝对的
proposition				主张，计划，任务
feasibility				可行性
destructive				破坏性的，消极的
\\\\
