denationalize				使非国有化
resort					招数，度假胜地
engage					吸引，使参加，雇用，从事
disarm					缴...的枪械，裁军
approximately				大约
cover						遮盖，包裹，处理，报导，支付
validation					认可
widespread					普遍的
unethical					不道德的
withdraw					取回，召回，离开
relay						轮换者，转达
fluently					流利的
mysteriously				神秘的
hinder					妨碍，阻挡
session					集会，开庭，一段时间
postdoctoral				博士后的
prioritize					优先考虑
bipartisan					由两党构成的
reluctance					不情愿
intuitive					凭直觉的，使用简便的
quote						引用，报价，引文
pragmatic					务实的
alleviate					减轻
underlying					位于...之下，构成...的基础
generate					产生，生成，创造
dysfunction				失衡
invasive					肆意蔓延的，开刀的，侵扰的
ignore					忽视
specific					详细的，特有的
specifics					详情
elegant					优雅的，简明的
\\\\
