capital					大写字母，首都，好处
indicate					表明，暗示
eligible					有资格的，合意的
procedure					程序
unrealistic				不切实际的
occur						发生，出现，被想到
aggravate					使恶化，惹恼
frankly					坦率的，显而易见的
thrilling					令人兴奋的
irreversible				不可逆转的
marine					海洋的，航海的
interracial				种族间的
grave						坟墓，严重的
undocumented				无证明文件的，无执照的
appoint					任命，确定，装设
rhetorical					修辞的，雄辩的，虚夸的
momentum					动量，动力
deserve					应得
drastically				剧烈的
particle					颗粒
miniature					小型的
merit						价值，荣誉，长处，值得
category					种类
liability					不利条件，负债，责任
hack						砍，踢，窃取
matter					事情，问题，物质，要紧
brutal					残忍的
biodiversity				生物多样性
subsequently				随后
bother					打扰，使...不安，费事
\\\\
