subconscious				潜意识
genetic					基因的，遗传学的
recurrence					再现，复发
defect					瑕疵，缺陷，叛变
retailer					零售商
memo						备忘录
chain						链条，一系列
executive					有执行权的，经理
ballet					芭蕾舞
enrollment					注册，注册人数
propose					提出，打算，提名，求婚
frantic					发狂似的，狂乱的
allegedly					据宣称
manipulate					操纵，控制，篡改
coverage					新闻报道，覆盖
novel						小说，新颖的
previous					先前的
neutrality					中立，中性
underscore					在...下面画线，强调
indispensable				不可或缺的
puzzle					谜，使困惑，苦思冥想
illustrate					说明，举例说明
sanitation					公共卫生
defensive					防御的，戒备状态
perspective				透视法，观点
migration					移居，迁徙，转移
float						浮
flexible					柔韧的，可变通的
capable					能干的，可能的
practical					实际的，切实可行的
\\\\
