relieve						减轻，卸除，调计，方便
regardless						不理会的，不顾一切的
pause							暂停，犹豫
launch						大型汽艇，下水，发射，实施
apartment						公寓套间
spark							火花，闪现，引发
a spark of						一点
eliminate						排除，消除，淘汰
unintentionally					非故意的
opposition						抵制，反对，对手，对立面
polar							极地的，截然对立的
integral						必需的，完整的，内置的，整数的
guard							警卫，警戒，警惕，保卫
branch						树枝，分支
affiliate						使隶属，并入，附属机构
irrigation						灌溉
stove							木柱，棍，五线谱
memorable						难忘的
elimination					排除，消除，淘汰
revenue						收入
revenues						总收入
decisive						果断的，决定性的
displace						使背井离乡，取代
violation						违反，侵犯
ideological					意识形态的
neighborhood					社区，邻近地区
calorie						大卡
fierce						凶猛的，强烈的，狂暴的
mention						提到，提名表扬
extend						扩建，延长
extend oneself					竭尽全力
column						柱子，纵队，列
analytical						分析的
\\\\
