territory					领土，地盘
urbanization				城市化
privilege					特权，荣幸
forthcoming				即将到来的，可得到的，乐于助人的
widen						变宽，扩展
deduction					扣除，推论
by deduction				通过推理
virtual					实质上的，虚的
boast						自夸，自豪的拥有
monetary					货币的
dim						昏暗的，模糊的，变暗，减退
sensible					明智的，实用的，意识到的
infant					婴儿，初期的
precedent					先例
activate					启动，触发
accomplish					完成，达到
immigration				移民入境
approve					批准，赞成
pessimist					悲观主义者
aggressive					好斗的，挑衅的，积极强硬的
toxic						有毒的，有害的
ruling					统治的，占支配地位的，裁决
prolong					延长
tension					紧张，电压，绷紧
specialist					专家，专科医生，专业的
encounter					遭遇，邂逅
reap						收割，获得
institute					机构，开始实行
maintenance				保养，维持
legend					传说，铭文
groundless					无根据的
\\\\
