undertake				承担，从事
commodity				商品，有用的东西，可贵品质
stimulate				刺激，促进...的功能
tough					刚强的，强硬的			
vital					必不可少的
ankle					脚踝
surgical				外科手术的，矫正用的，精确的
peculiar				奇怪的，不舒服的，特别的，特有的
fade					使...褪色，消失
pursuit				追逐，爱好
sophisticated			有修养的，老练的，复杂的
lobbyist				说客
lessen				减轻，降低
handgun				手枪
influential				有影响力的
detached				单独的，公正的
detach				使...分开
detach oneself			挣脱
biography				传记
curriculum				课程
margin				页边空白，边缘，幅度，极限
fearlessly				无畏的
randomly				随机的
discrimination			其实，鉴赏力
stimulus				刺激
competence				能力，技能，权限
sneak					溜，偷偷拿，偷偷的
exceed				超过，超出
turbulence				揣流，动荡
address				地址，演说，称呼
\\\\
