figure					数字，人物，身材，插图，合乎情理，认为
frighten					使...惊恐
preindustrial				工业化前的
furnish					为...配备家具，提供
scarcity					匮乏，稀有
transform					改变
misled					误导
intervene					介入，阻碍
vary						相异，变化，改变
bureaucracy					官僚主义，政府官员
recruiter					征兵人员
pattern					图案，榜样，模式，模仿，样品
necessity					必要，必需品
deny						否认，拒绝给予
drift						漂流，顺其自然，流动，偏航
endorsement					支持，认可，宣传
dare						激，敢，激将
consultancy					咨询公司，咨询的
constant					持续的，不变的，常数
deposit					放下，存放，使...沉积，定金
transmit					传播，广播
undermine					暗中颠覆，暗中破坏，侵蚀
resign					辞职
respective					各自的
consent					同意
reunion					团聚
premium					附加费，优质的
interpretation				理解，说明，口译
concrete					具体的，混凝土
facility					场所，特色服务，便利，才能
facilities					设施
\\\\
