convert							转变，换算
prompt							及时的，促使
weave								织，编造，编排，迂回前行，摇摇晃晃
conformity							遵守，符合
strict conformity					绝对盲从
inaction							无行动，不活跃
trim								修剪，缩短，除去，装饰，整洁的
irony								反语，具有讽刺意味的事
a touch irony						一丝嘲讽
monopolize							垄断，完全占据
workload							工作量
complicated						使复杂化
property							财产，住宅，特性
intellectual property					知识产权
underrepresented						未被充分代表的
philosophy							哲学，理念
regime							政权，养生法
bizarre							古怪的
ruin								毁坏
inspire							鼓舞，使产生，激起
deforestation						砍伐森林
exceptional						例外的，杰出的
hazard							危险
upgrade							改进，给...升级
abnormally							异常的
accidentally						意外的，偶然的
frontier							边界，前沿
considerable						相当大的，著名的
legalize							使合法化
dispensable						可有可无的
certify							证明
insurer							保险公司，承保人
overstate							夸大
\\\\
