profound				巨大的，强烈的，极度的，深奥的
agony					极度
craft					工艺，熟练的制作
arts and crafts			手工艺
obscurity				晦涩，默默无闻
guarantee				保修单，保证
dolphin				海豚
severity				严重，严厉
discourage				使灰心，阻拦
fault					缺点，过错
robbery				抢劫
inanimate				无生命的
calculation				计算，估计，算计
baffle				使困惑，隔板
overcharge				对...要价过高
nap					打盹，短绒毛
disposal				处理，出售
authorities				专家，权威，来源
chronicle				编年史，述事，记述
shade					阴影，色度，些许，差别，窗帘
milestone				里程碑，转折点
unstable				不稳定的
strain				压力，劳损，种类，旋律，过滤，尽力
municipal				市政的
ideologically			在意识形态方面
greedy				贪食的，贪婪的
robust				强壮的，坚定的，醇厚的
diagnose				诊断，判断
definite				明确的，明显的，自信的
reserved				矜持的
affection				喜爱，爱情
\\\\
