material				材料，内容，人才，物质的，重要的
be material to			与...相关
materials				用具
conduct				行为，处理，指挥
association				协会，联合，联想
collide				碰撞，冲突
industrious				勤奋的，勤劳的
fascinate				迷住
prevalence				流行
exert					施加，利用
exert oneself			努力
minor					较小的，未成年人
tempting				引诱
appropriation			挪用
injustice				不公正
irrelevant				无关紧要的，不相关的
registration			登记，注册
democracy				民主国家
grateful				感激的
offense				犯罪，冒犯，进攻
atmosphere				空气，大气，气氛
approach				接近，接洽，处理，通道
rival					竞争对手
commitment				承诺，责任感，花费
furious				狂怒的，激烈的
accurate				精确的
abstract				抽象的，抽象，提取
deprivation				剥夺，缺乏，贫困
designate				命名，指派
turtle				海龟
expertise				专长
vessel				船，容器，导管
ventilate				使...通风，公开表达
\\\\
