trade-off								平衡，换取
endless								无限的
temptation								诱惑
legislation							法律
duplication							复制
trick									诡计，恶作剧，技巧，习惯，欺骗
evaluation								评估
abandonment							离弃，放弃
turbulent								猛烈的，动荡的
expel									开除
carpenter								木匠
hasty									匆忙的，草率的
unprecedented							空前的
extreme								极度的，极端的，极度，极端
modernize								现代化
interactive							相互作用的，交互的
successively							连续的
innovation								新方法，革新
elaborately							周详充分的，精美的，复杂的
vegetarian								素食者
faculty								官能，才能，院系
faculty of Science						理学院
render								使成为，提供，描绘，翻译
portray								画，描绘
notion								观念，了解
tropical								热带的
character								性格，特性，字，名誉
infectious								感染性的，富有感染力的
lawn									草坪
permanent								永久的
\\\\
