psychological				adj.心理的，心理学的
shade					n.阴影，色度，些许，差别，窗帘vt.遮挡，阴影vi.渐变
persistent					adj.坚持不懈的，持续存在的
voluntary					adj.自愿的，无偿的，<生理>随意的
tolerance					n.宽容，忍耐力，公差
senior						adj.年长的，级别高的，成人的n.年长的，级别高的
individual					adj.单独的，个人n.个人
contemporary					adj.同时代的，当代的(时尚&设计)，n.同龄人
opposite								n.对立面adj.对面的，相反的adv.对面的prep.对面的
specialize					vi.从事专门研究
content								adj.满意的，vt.满足n.满足，内容
philosopher				n.哲学家
unrest									n.动乱，焦虑不安
startle					vt.使吃惊
emission					n.排放物，排放
overweight					adj.肥胖的，超重的
occupation						n.居住，占领，职业
mainstream					n.主流，adj.主流的
scholarship					n.学问，学术研究，奖学金
contract					n.合同vt.感染，收缩vi.收缩，合同
cheek						n.面颊，厚颜无耻
interdependence				n.相互依赖
import						n.进口，含义，重要性vt.进口
fiction					n.小说，错觉，虚构的事
upbringing					n.抚育
preserve								vt.保护，拯救n.果酱
vitally					adv.极其，绝对
masculine					adj.男性的，<语言>阳性，像男人的n.<语言>阳性
advocate								vt.支持n.拥护者
dust						n.灰尘，vt.打扫，撒
