track						n.足迹，路径，铁轨，vt.跟踪
track and field				田径
a two-track tape				双声道磁带
the top track				尖子班
confidence					n.信任，自信，秘密
riotous					adj.骚乱的，狂欢的
sophisticated				adj.有修养的，老练的，复杂的
similar							adj.相似的
transform					vt.改变
approve					vt.批准vi.赞成
session							n.集会，开庭，一段时间
awareness						n.意识
exhaust					vt.使...精疲力竭(用光)n.废气
subsidize					vt.补贴，资助
grocery					n.杂货(店)
ignorance					n.不知情，蒙昧
intelligence					n.智力，情报
tiny						adj.极小的，幼小的
praise						n.赞美vt.赞美
memorize					vt.记住
relative					adj.相对的，相应的，各自的
a relative pronoun				关系代词
breakthrough				n.突破，突围
incidence						n.发生，发生率
scratch								vt.划破，挠，取消vi.划破，挠n.划破，挠
harmful					adj.有害的
undergo					vt.接受，经历
recession					n.衰退
extraordinary				adj.非凡的
improper					adj.不合时宜的，非法的，不正确的
marginalize					vt.使...边缘化
vital								adj.必不可少的(充满生机的)
fortunately					adv.幸运的
commencement					n.开始
