fetch						vt.接来，取来，售得，给以
clumsy						adj.笨拙的，粗劣的，不娴熟的
establishment				n.创立，编制，企业
emit						vt.散发，射出
entertain					vt.使快乐，款待，怀有vi.款待
entertaining					adj.令人愉快的n.款待
irregular					adj.不规则的，不合常规的
psychologist					n.心理学家
era						n.纪元，时代
triumph					n.巨大成功，得意vi.巨大成功，得意
detection					n.发现，侦查
cozy						adj.舒适的，亲密的
gallery					n.美术馆，瞭台，拍卖厅
enormous					adj.庞大的
obtain						vt.获得，赢得vi.存在
desert						vt.抛弃，背离vi.<军>擅离n.沙漠
aviate						n.飞行员
determine					vt.查明，确定
disappear					vi.消失
entitle					vt.使享有权利，给...提名
relieve						vt.减轻，卸除，调计
generosity					n.慷慨
colleague					n.同事
undertake							vt.承担，从事
convenient					adj.方便的
preferential					adj.优惠的
column						n.<设计>柱子，纵队，列
affectionate					adj.有爱心的，亲昵的
issue						n.问题，期，发放，子女vt.发放(发行)vi.发放(发行)
inquire					vt.询问vi.打听
groundless					adj.无根据的
