independently						adv.独立的，客观公正的
approach							vi.接近vt.接近，接洽，处理n.通道，接近，方法
administration						n.管理，执行，<美>政府
adversity					n.逆境，灾难
technician							n.技师
regular							adj.定期的，整齐的，通常的，传统的，正规的n.正规的
miscalculation						n.误算
hinder							vt.妨碍，阻挡
selection							n.挑选
tide								n.(海)潮，潮流
superior							adj.上等的，更好的n.上司，更好的(人)
matter					n.事情，问题，物质vi.要紧
passively							adv.被动的，冷漠的
grant								vt.准予，授予，承认n.拨款
liberation					n.解放，解脱
observe							vt.注意到，观察，遵守，庆祝
institute					n.机构vt.开始实行
dormitory							n.宿舍
awful								adj.坏的，可怕的，生病的，极其
emergency							n.紧急情况
stress									n.精神压力，紧张，强调vt.强调vi.紧张
launch							n.大型汽艇，下水，发射，实施vt.下水，发射，实施vi.开始
suppose							vt.认为，设想
remove					vt.拿走，取消，辞退vi.搬迁n.<正式>间距
cousin twice removed					堂侄孙
exposure							n.揭发，暴露，亮相
promote							vt.晋升，促进，推销
engage							vt.吸引，使参加，雇用vi.从事(应付)
uncertain					adj.不确定的，难预料的
accommodate							vt.容纳(适应)，关照
slave								n.奴隶，vi.苦干
