mature									adj.成熟的，明智的vi.成熟的vt.成熟的
contrast					n.差异，反面，反差vi.对比vt.对比
clinic							n.诊所
award						n.奖，<法>授予，vt.授予，<法>判给
worthwhile					adj.值得的
cruelty					n.残忍，暴行
threaten					vt.恐吓，危及vi.(灾难)可能来临
chemical					n.化学制品，adj.化学的
consistent								adj.一贯的，持续的，不变的
renew						vt.重新开始，续签
take-off					n.起飞
innocent							adj.无罪的，无害的
currently					adv.当前
dropout						n.退学者
replace					vt.放回，取代，更换
sightseeing						n.观光(不可数)
honor						n.正义感，荣誉，荣幸，崇敬vt.尊敬
honour						n.正义感，荣誉，荣幸，崇敬vt.尊敬
imitate					vt.仿效，模仿，复制
installment					n.一期付款，一集
personality					n.个性，气质，名人
headquarter					n.总部
ingredient					n.<烹饪>原料，因素
revenue						n.收入(岁入)
sensitive					adj.敏感的，善解人意的
particular					adj.特别的，挑剔的n.细节
tumor						n.肿瘤
consequence					n.结果，重要性
explicitly					adv.明确的，生动的
sway						vi.摇晃，vt.(使)摇晃，n.摇晃，n.势力<字面>
technical					adj.技术的，专业的
