expert						n.专家，adj.熟练的
harm						n.损害vt.损害
imaginary					adj.虚构的
contaminate						vt.污染
soar						vi.高飞，升高
solely						adv.完全的，单独的
tremendous					adj.极大的，强烈的，极好的
civilization					n.文明
tough								adj.刚强的，强硬的，艰难的
gift						n.礼物，天赋vt.赠送
scale						n.等级，刻度，比例，程度
injure						vt.使受伤
embrace						vt.拥抱，<比喻>包括，<比喻>欣然接受vi.拥抱n.拥抱
seldom						adv.很少的
performance						n.表演，表现，履行，性能
violate								vt.违反，亵渎
associate						vt.把...联系起来，与...有关系vi.交往n.伙伴adj.副的
privacy					n.不受干扰，隐私(私人生活)
choke									vt.掐住...的脖子，使说不出话，塞住(管道)vi.窒息n.窒息
capable					adj.能干的，可能的
appeal							vi.呼吁，上诉，吸引n.呼吁，上诉，吸引
careless					adj.粗心的，不关心的
hit						vt.击，到达，遇到n.击，受欢迎
swallow					vt.吞下(吞没)，耗尽，相信，忍受vi.吞下n.吞下
consult								vt.咨询，查阅vi.商量
preservation					n.保护，保持
distance					n.距离，间隔vt.疏远
plastic					n.塑料，信用卡adj.可塑的，做作的
predict						vt.预言
submit							vi.投降，遵从，听任，vt.提交，主张
