structure						n.结构，条理性，建筑物vt.安排
architect						n.设计师
frame						n.构架，身躯，画面vt.衬着(围住)，制定
amaze								vt.使大为惊奇
affirmation						n.肯定
intelligent					adj.有才智的
code							n.密码，规范
burden							n.重负，要旨vt.烦扰
absorb								vt.吸收，掌握，吸引，吞并
instruction						n.教导，命令
instructions						n.使用说明
admission									n.准许进入，承认
additional						adj.额外的
prejudice									n.偏见，侵害vt.偏见
process						n.过程vt.加工，处理
elegant								adj.优雅的，简明的
hospitable						adj.友好的，适宜的
refreshing						adj.提神的
ensure						vt.保证
frighten					vt.使...惊恐vi.使...惊恐
civilized						adj.文明的，有礼貌的
approval								n.赞同，批准
publicize				vt.宣传
resident						n.居民adj.常住的
considerate						adj.体贴的
twist							vt.转动，缠绕，弯曲，vi.打结，n.旋转(动作)，缠绕，<比喻>转折
citizen						n.公民
stake							n.桩，赌注，股(本)vt.桩，赌注
keenly						adv.渴望的，敏锐的，激烈的
superficial						adj.外表的，粗略的，肤浅的(知识)
flexibility						n.柔韧性，灵活性
