favorable						adj.肯定的，赞同的，有利的，合适的
competent								adj.有能力的，足够的
emotional						adj.情感的，沮丧的，冲动的
pioneer						n.先驱，vt.开创
sustain						vt.维持，支撑，遭受，<法>认可
gloomy						adj.阴暗的，沮丧的
convince						vt.说服
profitable					adj.获利的，有益的
routinely						adv.例行的
phenomenon						n.现象，非凡的人或事物
variety									n.多样化，种类
gum							n.牙龈，n.树胶，口香糖vt.用胶粘
criticism					n.评论，批评
fatal							adj.致命的，灾难性的
delightful						adj.令人愉快的
tedious						adj.单调乏味的
flexible									adj.柔韧的，可变通的
considerably					adv.相当多的
efficiently						adv.效率高的
appearance						n.到来，外表，出版，演出
album							n.册子
optimistic					adj.乐观的
clue							n.线索，想法
grief							n.悲伤，麻烦
synthetic						adj.合成的，假的，虚伪的n.合成物
resistance						n.抵抗
install						vt.安装，安置
pledge						n.诺言，保证，抵押，信物vt.保证，抵押
unique							adj.唯一的，独特的
stock							n.存货，储备，股份，名声adj.常备的(常见的)，存货(的)vt.存货
