disadvantage				n.不利条件，不利地位vt.不利条件
compensate							vt.赔偿vi.补偿
rescue						vt.解救n.解救
monitor						n.显示器，班长vt.观察，监测
refusal						n.拒绝
exile							n.背井离乡者，流放vt.流放
encourage					vt.鼓励，怂恿，促使
concept						n.概念
render								vt.使成为，提供，描绘，翻译
trait							n.特点，性状
feature						n.特征，方面vt.以...为特色vi.占据重要位置
identify						vt.辨认，认出，联系，认为...等同
identify oneself			自称，同情
impose						vt.强制执行，将...强加于人vi.利用
snack							n.快餐，小食品vi.快餐
require						vt.需要，要求
donation						n.捐赠物
equal							adj.相同的，平等的n.相同的adv.相同的vt.等于
rare						adj.罕见的，美好的
specify						vt.具体说明
constant						adj.持续的，不变的n.常数，不变的
standardize					vt.使标准化
consume						vt.吃，喝，耗尽，充满
status						n.地位，重要程度
complement						n.补充的东西，足额vt.补充
lengthy						adj.长时间的
embarrassed					adj.尴尬的
rational						adj.理性的，合理的
distant						adj.远处的，冷淡的
homemaker						n.主妇
