legend						n.传说，铭文
dictator						n.独裁者，权威
diversity						n.多样性
quit							vt.停止(美)，辞去，<计算机>退出vi.停止(美)，辞去，<计算机>退出
outgoing						adj.友好的，离开的
the outgoing tide				退潮
solution								n.解决办法，溶液，答案
revenge						n.报复，报仇vt.报仇
reverse							n.相反情况，失败，倒档adj.相反的vt.逆转vi.倒挡(车)
enroll						vt.注册vi.参加
logically						adv.合乎逻辑的
rental						n.租金，租赁
component						n.零件(要素)adj.组成的
quotation						n.引文，报价
faith							n.信心，信任，(宗教)信仰
invalid						n.残疾人，vt.退役，adj.无效的
invade						vt.侵略，侵扰
separately						adv.分别的，单独的
strain						n.压力，劳损，种类，特性vt.劳损，过滤，尽力vi.尽力
accessible						adj.容易到达的，易获得的
lap								n.大腿，<运动>一圈vt.部分重叠vi.轻拍，部分重叠
in the lap of luxury				生活优裕
character								n.性格，特性，字，名誉
widespread					adj.普遍的
rearrange						vt.重新布置
hospitalize					vt.送...入院治疗
avail							n.收益
to be of no avail				没有用
to avail oneself of sth			利用某事物
instant						adj.立即的n.片刻
democratic						adj.民主制度的
barely					adv.仅仅，几乎不
vanish						vi.消失
caregiver						n.看护人
