entertainment					n.娱乐，款待
critical						adj.批评性的，关键的，评论家的，审慎的
transaction						n.交易(办理)
via							prep.经由，通过
insist						vt.坚决要求，坚持认为vi.坚决要求
distract						vt.使...分心，给...以消遣
subdivision						n.再分割，分区
yield							vt.出产，让出，泄露vi.屈服n.出产
misunderstand					vt.误解
detail						n.细节，详情，特遣队vt.详述
immeasurable					adj.极大的
convincing					adj.有说服力的
donate						vt.捐赠vi.捐赠
compare							vt.比较vi.比较n.比较
item							n.一件物品，项目
concrete						adj.具体的，混凝土(的)n.混凝土
a concrete noun					具体名词
govern						vt.统治，支配，决定
classify						vt.将...分类
restrict						vt.限制
establish						vt.创立，证实
counseling						n.咨询，辅导
majority						n.大多数
contact						n.接触，联系，通讯，熟人vt.联系
virtual					adj.实质上的，<物理学>虚的
simplicity						n.简单，朴素
enrollment					n.注册，注册人数
programming						n.编程，节目
device						n.装置，电子设备，手法
previous						adj.先前的
alter							vi.改变，vt.改变
