coach						n.长途汽车，(火车的)车厢，教练vt.辅导(训练)vi.教练
crisis						n.危机
interconnect					vi.相互连接vt.相互连接
enrich						vt.充实，使...富裕，<物理>使浓缩
poll						n.投票vt.获得，调查vi.获得(选票)
consent					vi.同意n.同意
utility					n.实用，公共事业adj.实用的
poisonous					adj.有毒的，恶毒的
collision						n.碰撞，冲突
rank						n.地位，等级，排vt.等级，排vi.排adj.绝对的，疯长的
fundamentally				adv.基本的，根本的
inflation					n.通货膨胀
secure						adj.牢固的，安全的vt.保护，获得
interpret				vt.解释，理解vi.做口译
criticize					vt.批评，评论
arrest						vt.逮捕，阻止，吸引n.逮捕
afford						vt.支付(承受)得起，<正式>提供
implementation				n.实施，执行
initiate					vt.开始，使...加入，传授
enable						vt.使有机会，使能够，激活
narrow					adj.狭窄的，有限的，微小的vi.变窄，缩小vt.变窄，缩小
overcharge				vt.对...要价过高vi.对...要价过高
shortcut					n.捷径，快捷键
leisure					n.空闲
original					adj.最早的，原来的，有独创性的n.原件
density					n.密度
sphere						n.球形，领域，阶层
the music of the spheres			天籁
margin						n.(纸)页边空白，边缘(余地)，<政治>幅度，极限
there is no margin for error		不能出任何差错
department					n.部门，科，系
desire						n.渴望vt.渴望
