harsh							adj.严厉的，恶劣的，刺眼(耳)的
reliable						adj.可靠的，准确的
massive						adj.大的，严重的
alcohol						n.酒
pregnant									adj.怀孕的，意味深长的
adapt								vt.调整...以适用vi.调整...以适用
bogus							adj.假的
slippery						adj.滑的，棘手的，靠不住的(非正式)
current						adj.当前的，流行的n.电流，趋势
overwhelm						vt.吞没，(比喻)压垮，战胜
stressful						adj.压力大的
toothache						n.牙痛
eliminate						vt.排除，消除，淘汰
terminal						adj.晚期的，终点的n.(终点)站，(电脑)终端
severe									adj.严重的，严肃的
immobile						adj.静止的
diplomatic						adj.外交的
candidate								n.候选人
fund							n.基金，储备
complacency						n.自满
delight						n.愉快，vt.使高兴vi.使高兴
inadequate					adj.不充分的
steady						adj.稳定的，均匀的vt.使平稳vi.使平稳
accurate				adj.精确的
identification						n.鉴定，认同
previously						adv.以前
identical						adj.相同的
retirement						n.退休
commit						vt.犯，使承诺，耗费，记下vi.承诺
element						n.基本部分，因素，少量
the elements					恶劣天气
