assess							vt.估算，评价
hire					n.租用，vt.租用，雇用
represent					vt.相当于，代表，占据，声称
overestimate				vt.高估n.高估
supervision				n.监督，照料
expose					vt.揭露，暴露
seemingly				adv.表面上，据我所知
assignment				n.任务，作业，分配
preference					n.偏爱
energetic						adj.精力充沛的，断然的，有力的
application				n.申请，实施，勤奋
moral					adj.道德的n.寓意
morals				n.道德
dispute				n.争论vt.争论vi.争论
influence							n.影响，势力，作用vt.影响
illegal				adj.非法的，犯规的
esteem					n.尊重vt.尊重
abundant				adj.大量的
survey				n.调查，测绘，概述vt.调查，测绘，概述
extensively				adv.到处，大量的
deserve						vt.应得vi.应得
crash								vi.碰撞，倒闭，死机vt.碰撞n.碰撞，倒闭，死机
affirm				vt.断言，申明
reputation								n.名声
degree				n.(角)度，学位，程度，<法>等级
fade					vt.使...褪色，消失vi.使...褪色，消失
competitor				n.竞争者
confuse							vt.使迷惑
task					n.任务vt.任务，考验
lessen				vt.减轻，降低vi.减轻，降低
admit					vt.承认，准许...进入，vi.容许
