bow						n.弓，蝴蝶结，vi.鞠躬，让步，弯曲vt.弯曲，鞠躬n.鞠躬
take a bow					谢幕
division					n.分开，分配，除法，部门
literature					n.文学，宣传册
consultant					n.顾问，医师
penalty						n.<法&运动&游戏>处罚，不利结果
comment								n.评论，注解，批评，意见vt.评论vi.评论
major						adj.重要的，严重的，n.主修(美)vi.主修(美)
option					n.选择，<商业>期权，<英>选修(课)
socialize					vi.交际，vt.社会主义化
bureau					n.社，局
budget					n.预算adj.便宜的vt.预算vi.预算
pop						n.汽水，击打vt.爆裂，(英)放下vi.爆裂
position						n.位置，姿势，状况，立场，vt.摆放
affordable					adj.买得起的
function					n.功能，职责，用途vi.运转
perceive					vt.察觉，(理解)把...看作
reserve						n.储备，保护区，拘谨vt.预订(预留)，储备
all rights reserved			版权所有
innovation								n.新方法(可数)，革新(不可数)
alert						adj.警惕的n.警戒vt.提醒
cautious						adj.小心谨慎的
document					n.文件vt.记录，用文件证明
characterize				vt.描绘，是...的特征
achieve							vt.达到，实现，取得
address							n.地址，演说，称呼vt.地址，演说，称呼，处理
address oneself				致力于某事
inspiration					n.灵感，妙计
agency					n.代理机构，介入，<地理>作用
formulate					vt.构想，制定，创立，(确切的)表达
fate						n.命运，死亡
surf						n.拍岸浪花，冲浪vi.冲浪
steer						vt.驾驶，带领，引导，遵循vi.驾驶n.指点
