save					vt.挽救，留存，节省，免去，<计算机>保存vi.攒钱，节省
save up				攒钱
inherit					vt.继承，接手
occasion				n.某次，时机，庆典，理由vt.引起
initiative					n.主动性(或行为)
insight				n.洞悉，洞察力
misguided				adj.受误导的
sponsor					n.赞助者vt.资助，倡议
porter				n.行李员，护工
loyalty				n.忠诚
overwhelming				adj.压倒性的，难以抑制的
appreciation			n.感谢，理解，欣赏，<金融>升值
setting				n.环境(背景)，配曲，(日月)降落
display				n.陈列，展品，表演，显示vt.陈列，显示
deliver						vt.递送，移交，发表，履行vi.递送
astonish				vt.使大为惊奇
adequate				adj.足够的，适当的，能胜任的
consumption				n.消耗，消费，接受
abuse							vt.虐待，滥用，辱骂n.虐待，滥用，辱骂
broad					adj.宽阔的，广泛的
inappropriate			adj.不合适的
worldwide					adj.世界范围adv.世界范围
strict				adj.严厉的，明确的，严格的
means					n.方法，财富
reveal					vt.披露，展现
confirm								vt.证实，确认，巩固
consensus							n.一致意见
agent					n.代理人，特工，动因
neighborhood					n.社区，邻近地区
participate				vi.参加
valid					adj.有效的，合理的
