initially						adv.起初
slightly				adv.略微的，纤细的
objection						n.反对
atmosphere				n.空气，大气，气氛
assign						vt.分配(房间&任务)，指派，确定(日期)
evidence						n.证据，证词，迹象vt.证明
racially						adv.在种族上
exclude						vt.拒绝...参加，排除，开除(学生)
available						adj.可获得的，有空的，单身的
puzzling						adj.令人困惑的
evaluation								n.评估
irritate						vt.使恼怒，<医>刺激
distinguished					adj.优雅高贵的，著名的
depressing						adj.令人沮丧的
mutually						adv.互相，对于双方
mission						n.任务，代表团，使命
migration					n.移居，迁徙，转移
site							n.地点，营地，现场vt.选址
expectation				n.预料，希望
update						vt.更新
gear							n.用具，设备，所有物，排档vt.使...适合于vi.做准备
reproductive					adj.繁殖的
incredible						adj.难以置信的，美妙的
backward						adj.向后的，倒退的，落后的，犹豫的
raise							vt.举起，提高，提出，抚养大n.加薪
prohibit							vt.禁止，阻止
bother					vt.打扰，使...不安vi.费事，担心n.麻烦
pose							vi.摆姿势，vt.构成，提出n.摆姿势
strike a pose					装模作样
instrument							n.器械，乐器，仪表
mask							n.面罩，伪装，掩盖vt.掩盖
