essential						adj.完全必要的，本质的(基本的)n.必需品
harvest						n.收割，结果vt.收割vi.收割
a good harvest					丰收
reject						vt.驳回，拒绝n.拒绝
advancement					n.发展，晋升
skyrocket						vi.飞涨
characteristic							adj.典型的，n.特征
implication					n.暗示，可能的结果
measure						n.计量制，标准量，措施，评价，vt.测量vi.测量
in no small measure				在很大程度上
replacement					n.更换，替代品
easygoing						adj.随和的
squeeze							vt.挤，榨，塞入，挤压vi.挤压，塞入n.挤压，<经济>削减
exhibition						n.展览，显露
responsibility					n.负责，义务
enhance						vt.提高，改善，增加
retain						vt.保留，记住，挡住
convey								vt.(交流)表达，传达，运送
regulation					n.规定，标准化的
integrity						n.正直，完整
combine							vt.混合，结合vi.搭配，结合
permanency						n.永久性
catalogue						n.目录，一系列<比喻>vt.目录
council						n.议会
prepare						vt.准备vi.准备
inquiry						n.询问，调查
tension						n.紧张(关系)，绷紧(张力)，对立，电压vt.绷紧
prompt							adj.及时的adv.及时的(英)vt.导致n.提词
attendance						n.出席人数，就诊
retail						n.零售vt.零售vi.零售
image							印象，图像，雕像，形象
quantity				n.数量，大量
