inspector						n.检查员
endurance						n.忍耐力，耐用度
simplify							vt.简化
range							n.种类，系列，范围vt.排列vi.包括
accomplish					vt.完成，达到
treatment						n.对待，探讨，治疗，处理
spare								adj.闲置的，简朴的，n.备用品，vt.匀出，放过，免去
welfare							n.福祉，福利
boost							n.促进，宣传，增加vt.增加，<美>宣传
consciousness					n.知觉，意识
patiently						adv.耐心的，坚忍的
decent							adj.正派的，得体的，像样的
review							n.检查(情况&进展)，评估，评论vt.检查，评论，<美&学校>复习vi.评论，<美&学校>复习
considerable						adj.相当大的，著名的
misguide						adj.受误导的
foundation					n.创建，地基，基础，根据
postgraduate					n.研究生adj.研究生(的)
prevail						vi.流行，占优势
solid						adj.固体的，连续的，纯的，挤满的
counsel						n.劝告vt.建议
maximum						adj.最大的n.最大限度adv.最大的
abstract								adj.抽象的n.抽象vt.提取
realistic						adj.切实可行的，逼真的
ban							vt.明令禁止，n.禁令
ashamed							adj.惭愧的
solve							vt.解开，解决
reinforce						vt.增加，加固，证实
applicant							n.申请人
tuition						n.讲授，学费(美)
persistence					n.坚持不懈，持续存在
