overcome								vt.战胜，压倒vi.战胜
bride						n.新娘
engagement						n.订婚，约会，雇用，<军事>交战
household					n.家庭
evaluate						vt.评价，评判
saint							n.圣徒
delay							vt.推迟，延误，vi.拖延n.延误，推迟
private					adj.私人的，秘密的，内向的，私立的
definition						n.释义，清楚
influential				adj.有影响力的
recommend					vt.推荐，建议，托付
frontier							n.边界，(知识)前沿
concern								n.担心，私事，公司vt.与...有关，担心
organ							n.器官(机关)
cite							vt.引用，例举，嘉奖
mechanism						n.机械装置，机制(生理)，途径
contest									n.比赛(竞争)，vt.辩驳，比赛(竞争)
symptom						n.症状，征兆
deadline						n.最后期限
domination						n.统治，主宰，控制
figure							n.数字，人物，身材，插图vi.出现，合乎情理vt.认为
imply							vt.暗示，意味着
curiosity						n.好奇，珍稀物
induce						vt.劝说，导致
acknowledge							vt.承认(过错&事实)，(合法接受)认可，感谢
gym							n.体操馆
chef							n.厨师
sensible						adj.明智的，实用的，意识到的
outline						n.轮廓，提纲，vt.概述
react							vi.作出反应，有不良反应
