committee								n.委员会
civilian						n.平民adj.平民的
domestic						adj.国内的，家里的
complex						adj.复杂的n.建筑群，<心理>情节
locate						vt.把...设置在
tighten						vt.使变紧，使更严格vi.使变紧，使更严格
physics						n.物理学
foothold						n.立足处
discharge						vt.解雇，流出(排放)，履行，出院vi.流出n.出院，履行
advanced						adj.高级的，先进的，晚期的
in advance						预先
complicated						adj.复杂的
needy					adj.贫穷的
stale							adj.不新鲜的，厌倦的
casual							adj.偶然的，随意的n.临时工
conform						vi.遵从，符合
recharge						vt.给...充电
annually						adv.每年
frown							n.皱眉vi.皱眉
decline							vi.下降，恶化，婉拒vt.婉拒n.下降
originate						vi.起源vt.创作，引发
prospect						n.希望，景色，潜在客户vi.勘探vt.勘探
prospects						n.成功机会
curious						adj.好奇的
incentive						n.刺激，<商业>优惠
virus							n.病毒
cultivate						vt.耕作，培养，建立
potential						adj.潜在的，可能的n.潜力
reluctant						adj.不情愿的
miserable						adj.痛苦的，不幸的
persuasion						n.说服，信仰
competitiveness					n.竞争意识，<商业>竞争力
