restriction						n.限制，限制规定
minor					adj.较小的，n.未成年人
grain								n.谷物，颗粒，少量，纹理
rate						n.速度，比率，价格，工资vt.评估vi.被评价
radically							adv.根本的
distinct							adj.清晰的，明显的，不同的
equality							n.平等
hardworking						adj.努力工作的
qualification						n.资格，素质
bacteria					n.细菌
corporate							adj.全体的，公司的，联合的n.企业集团
undermine							vt.暗中颠覆，暗中破坏，侵蚀
selfish							adj.自私的
cater								vi.满足...的需要vt.为...提供饮食
survival									n.存留，幸存者
favor						n.赞同，好处，善意行为，vt.较喜欢，赐予
conflict							n.冲突vi.冲突
client									n.委托人，客户
garage					n.车库，加油站vt.车库
fatigue							n.疲劳vt.疲劳
plant								n.植物，工厂，机器，vt.播种，安放，给予
endanger						vt.危害，危及
operation							n.运行，实施，手术，行动
handle					n.把手，理解，称呼vt.对待，应付，涉及
handle with care					小心搬运
laborious							adj.艰巨的，生硬的
passion							n.激情，激愤，情欲，酷爱
cooperative						adj.合作的，n.合作机构
inflate							vt.给...充气，夸大，使...上涨vi.充气
resourceful						adj.足智多谋的
exaggerate							vt.夸大vi.夸大
